catalogue_id,status,block,metric,n_models,blind_ids,near_duplicate_count,block_recurrence_count,metric_recurrence_count,source_type_recurrence_count,near_duplicate_ids
C1516,support_watch,values_owned,euclidean,9,M043;M044;M052;M058;M059;M060;M078;M082;M083,7,1,1,1,C1269;C1515;C1516;C1585;C1707;C1727;C1777
C1517,support_watch,values_owned,euclidean,3,M050;M051;M052,2,1,1,1,C1272;C1517
C1518,support_watch,values_wishes,euclidean,7,M005;M027;M031;M039;M056;M057;M081,12,1,1,1,C1518;C1586;C1587;C1612;C1640;C1641;C1664;C1674;C1675;C1756;C1812;C1813
C1519,support_watch,values_wishes,euclidean,10,M015;M041;M043;M044;M046;M052;M059;M060;M071;M083,1,1,1,1,C1519
C1520,support_watch,values_wishes,euclidean,6,M034;M047;M051;M056;M081;M082,4,1,1,1,C1431;C1499;C1520;C1617
C1521,support_watch,freeflow_form,euclidean,7,M002;M011;M016;M053;M056;M057;M082,16,1,1,2,C0075;C0088;C0096;C0099;C1341;C1367;C1383;C1401;C1434;C1521;C1540;C1565;C1566;C1684;C1773;C1815
C1522,support_watch,freeflow_form,euclidean,3,M010;M035;M051,3,1,1,1,C1200;C1239;C1522
C1523,support_watch,freeflow_form,euclidean,3,M010;M051;M059,2,1,1,1,C1239;C1523
C1524,watchlist,freeflow_form,euclidean,3,M016;M053;M057,6,1,1,2,C1402;C1490;C1502;C1524;C1525;C1553
C1525,support_watch,freeflow_form,euclidean,3,M016;M053;M057,6,1,1,2,C1402;C1490;C1502;C1524;C1525;C1553
C1526,watchlist,freeflow_form,euclidean,3,M021;M037;M052,7,1,1,2,C1161;C1324;C1457;C1526;C1603;C1619;C1656
C1528,support_watch,posture,euclidean,4,M024;M071;M074;M076,4,1,1,1,C1207;C1528;C1570;C1723
C1529,support_watch,posture,euclidean,5,M028;M029;M033;M055;M075,6,1,1,1,C1326;C1346;C1404;C1529;C1580;C1741
C1530,support_watch,v1_markers,euclidean,4,M012;M013;M071;M073,3,1,1,1,C1309;C1530;C1701
C1531,support_watch,v1_markers,euclidean,10,M024;M029;M031;M033;M035;M036;M037;M038;M072;M073,3,1,1,1,C1531;C1623;C1724
C1532,support_watch,v1_markers,euclidean,5,M047;M056;M057;M058;M083,6,1,1,1,C1251;C1331;C1532;C1558;C1765;C1767
C1533,support_watch,values_disclosure,euclidean,6,M009;M010;M011;M030;M054;M055,4,1,1,1,C1186;C1261;C1533;C1797
C1534,support_watch,values_disclosure,euclidean,9,M011;M015;M016;M022;M024;M052;M053;M054;M075,4,1,1,1,C1254;C1534;C1581;C1690
C1535,support_watch,values_owned,euclidean,5,M005;M009;M010;M073;M080,5,1,1,1,C0757;C1019;C1020;C1535;C1790
C1536,support_watch,values_owned,euclidean,8,M022;M024;M044;M056;M057;M078;M081;M082,10,1,1,1,C1414;C1428;C1536;C1547;C1584;C1628;C1662;C1663;C1746;C1776
C1537,support_watch,values_owned,euclidean,5,M032;M034;M035;M036;M053,4,1,1,1,C1149;C1444;C1495;C1537
C1538,watchlist,values_wishes,euclidean,3,M013;M016;M022,9,1,1,3,C1538;C1614;C1615;C1616;C1630;C1653;C1676;C1791;C1795
